company_name,hq_country,sector,platforms,year_founded,company_age_years,company_size,market_reach,primary_genres,monetization_model,ownership_type,esports_involvement,estimated_revenue_range,revenue_trend
"Pixel Federation, S.R.O.",Slovakia,Game Development,"Mobile,PC",2007,19,Medium,International,"Strategy,Simulation","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Doodle Mobile Limited,China,Game Development,Mobile,2009,17,Medium,International,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Doodle Mobile (Sg) Pte. Ltd.,Singapore,Game Development,Mobile,2009,17,Medium,International,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
I6 Games,China,Game Development & Publishing,Mobile,2009,17,Medium,International,"Strategy,RPG","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Top Games Inc.,United States,Game Development & Publishing,Mobile,2010,16,Medium,International,"Strategy,RPG","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
"Japan Babybus Co.,Ltd.",Japan,Game Development & Publishing,Mobile,2010,16,Medium,International,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Studios Budge Inc.,United States,Game Development,Mobile,2010,16,Medium,International,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Storytoys Limited,Ireland,Game Development & Publishing,Mobile,2010,16,Medium,International,"Educational,Kids","Purchase,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Gismart Limited,United Kingdom,Game Development & Publishing,Mobile,2010,16,Medium,International,"Music,Casual","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Hutch Games Ltd,United Kingdom,Game Development & Publishing,Mobile,2011,15,Medium,International,"Racing,Strategy","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Kwalee Ltd,United Kingdom,Game Development & Publishing,Mobile,2011,15,Medium,International,"Hypercasual,Casual","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Sybo Aps,Denmark,Game Development & Publishing,Mobile,2012,14,Medium,Global,"Arcade,Casual","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Fingersoft Oy,Finland,Game Development & Publishing,Mobile,2012,14,Medium,Global,"Racing,Arcade","Free,Purchase,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Moco Studios Private Limited,India,Game Development,Mobile,2012,14,Medium,International,"Casual,Racing","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Ndemic Creations,United Kingdom,Game Development & Publishing,"Mobile,PC,Console",2012,14,Medium,Global,"Simulation,Strategy","Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Gametion Global Technologies Pte. Limited,Singapore,Game Development & Publishing,Mobile,2014,12,Medium,International,"Board,Casual","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Tiramisu Studios Yazilim Hizmetleri Anonim Sirketi,Turkey,Game Development,Mobile,2015,11,Medium,International,"Casual,Puzzle,Simulation","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Deca Live Operations Gmbh,Germany,Game Development & Publishing,Mobile,2016,10,Medium,Global,"Strategy,RPG","Free,Purchase,Premium,Ads",Subsidiary,No,<$50M (Estimated),Unknown
Vector Unit Inc,United States,Game Development,"Mobile,PC,Console",2007,19,Small,International,Racing,"Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Originator Inc,United States,Game Development,Mobile,2007,19,Small,International,"Educational,Kids","Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Inlogic Software S.R.O.,Czech Republic,Game Development,Mobile,2009,17,Small,International,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Mediocre Ab,Sweden,Game Development,Mobile,2010,16,Small,International,"Racing,Action","Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Dreamotion Inc.,South Korea,Game Development,Mobile,2010,16,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Rv Appstudios Llc,United States,Game Development,Mobile,2010,16,Small,Regional,"Educational,Kids","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Starplay Dmcc,United Arab Emirates,Game Development & Publishing,Mobile,2011,15,Small,Regional,"Casual,Puzzle","Free,Purchase,Premium",Private,No,<$50M (Estimated),Unknown
Appsomniacs Llc,United States,Game Development,Mobile,2011,15,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Sago Sago Toys Inc.,Canada,Game Development,Mobile,2011,15,Small,International,"Educational,Kids","Purchase,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Duck Duck Moose,United States,Game Development,Mobile,2011,15,Small,International,"Educational,Kids","Purchase,Premium,Subscription",Subsidiary,No,<$50M (Estimated),Unknown
Zuuks Oyun Yazilim Ve Pazarlama Anonim Sirketi,Turkey,Game Development,Mobile,2011,15,Small,Regional,"Casual,Racing","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Prodigy Design Limited,United Kingdom,Game Development,Mobile,2012,14,Small,Regional,"Action,Arcade","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Tutotoons,Argentina,Game Development,Mobile,2012,14,Small,International,"Educational,Kids","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Fox & Sheep,Germany,Game Development,Mobile,2012,14,Small,International,"Educational,Kids","Purchase,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Dr. Panda,Netherlands,Game Development,Mobile,2012,14,Small,International,"Educational,Kids","Purchase,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Edugames Publishing Ltd Eood,Bulgaria,Game Development & Publishing,Mobile,2012,14,Small,Regional,"Educational,Kids","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Refuel Games Pty Ltd,Australia,Game Development,Mobile,2013,13,Small,Regional,Racing,"Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Viva Games Sociedad Limitada.,Spain,Game Development,Mobile,2013,13,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Wild Life Inc,Canada,Game Development,Mobile,2013,13,Small,Regional,"Casual,Simulation","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Suncyan,China,Game Development,Mobile,2013,13,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Button E&M,South Korea,Game Development,Mobile,2013,13,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Biglime Limited,United Kingdom,Game Development,Mobile,2013,13,Small,Regional,"Educational,Kids","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Edujoy Games S.L.U.,Spain,Game Development,Mobile,2013,13,Small,Regional,"Educational,Kids","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Codigames,Spain,Game Development,Mobile,2013,13,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Mango Games,China,Game Development,Mobile,2013,13,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Naxeex Ltd,Cyprus,Game Development,Mobile,2013,13,Small,International,"Action,Simulation","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
"Gamebeam, Llc",United States,Game Development,Mobile,2014,12,Small,International,"Casual,Arcade","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Smellymoo,United Kingdom,Game Development,Mobile,2014,12,Small,Regional,"Casual,Simulation","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
"Magic Seven Co., Limited",China,Game Development,Mobile,2014,12,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Neron'S Brother Sarl,France,Game Development,Mobile,2014,12,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Bebi Family Games Ou,Estonia,Game Development,Mobile,2014,12,Small,Regional,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Pop M.I. Ovidiu Persoana Fizica Autorizata,Romania,Game Development,Mobile,2014,12,Small,Regional,"Casual,Simulation","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Unlock International Limited,United Kingdom,Game Development,Mobile,2014,12,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Hyperkani Oy,Finland,Game Development,Mobile,2015,11,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
"Hongkong 707 Interactive Technology Co., Limited",Hong Kong,Game Development,Mobile,2015,11,Small,Regional,"Action,RPG","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Koality Game Llc,United States,Game Development,Mobile,2015,11,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Lonriv Studio,Hong Kong,Game Development,Mobile,2015,11,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Kidloland Kids & Toddler Games Private Limited,India,Game Development,Mobile,2015,11,Small,Regional,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Papumba Llc,United States,Game Development,Mobile,2015,11,Small,Regional,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Pepi Play Uab,Lithuania,Game Development,Mobile,2015,11,Small,Regional,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Yateland Kids Limited,Hong Kong,Game Development,Mobile,2015,11,Small,International,"Educational,Kids","Free,Premium,Subscription",Private,No,<$50M (Estimated),Unknown
Oppanagames Fzc Llc,United Arab Emirates,Game Development,Mobile,2015,11,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
X Gaming Lab Fz-Llc,United Arab Emirates,Game Development,Mobile,2016,10,Small,Regional,"Casual,Arcade","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Toh Games,Vietnam,Game Development,Mobile,2016,10,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Moonbear Ltd,United Kingdom,Game Development,Mobile,2016,10,Small,Regional,"Simulation,Casual","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Storm Hit Games,Turkey,Game Development,Mobile,2016,10,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Gamepickle Studios,India,Game Development,Mobile,2016,10,Small,Regional,"Action,Arcade","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Ai Games Fz Llc,United Arab Emirates,Game Development,Mobile,2016,10,Small,Regional,"Action,RPG","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
1004319 Alberta Ltd,Canada,Game Development,Mobile,2017,9,Small,Regional,Casual,"Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Z Boson Studio Eood,Bulgaria,Game Development,Mobile,2017,9,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
SKGames Yazılım Mühendislik Teknoloji Limited Şirketi,Turkey,Game Development,Mobile,2018,8,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
"Bitcore Technology Co., Ltd.",Seychelles,Game Development,Mobile,2018,8,Small,Regional,Casual,"Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Apex Designs Games Llp,United Kingdom,Game Development,Mobile,2019,7,Small,Local,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
Minimo,Indonesia,Game Development,Mobile,2019,7,Small,Regional,"Casual,Puzzle","Free,Premium,Ads",Private,No,<$50M (Estimated),Unknown
